cell,city,geometry,wkt
881e75d08bfffff,Рівне,"POLYGON ((26.258633472537895 50.645915984646564, 26.255672887470123 50.641810627851434, 26.260302891076044 50.638179595919866, 26.267893180808507 50.63865375252252, 26.27085429734072 50.64275896209878, 26.2662245927848 50.64639016230034, 26.258633472537895 50.645915984646564))","POLYGON ((26.258633472537895 50.645915984646564, 26.255672887470123 50.641810627851434, 26.260302891076044 50.638179595919866, 26.267893180808507 50.63865375252252, 26.27085429734072 50.64275896209878, 26.2662245927848 50.64639016230034, 26.258633472537895 50.645915984646564))"
881e6d871bfffff,Суми,"POLYGON ((34.77184770965889 50.94240790050651, 34.768470077012125 50.93859834514673, 34.772561368850454 50.93470792437628, 34.78002971409485 50.93462694565355, 34.78340761729719 50.93843631733791, 34.77931690480739 50.94232685141917, 34.77184770965889 50.94240790050651))","POLYGON ((34.77184770965889 50.94240790050651, 34.768470077012125 50.93859834514673, 34.772561368850454 50.93470792437628, 34.78002971409485 50.93462694565355, 34.78340761729719 50.93843631733791, 34.77931690480739 50.94232685141917, 34.77184770965889 50.94240790050651))"
881e4e6db3fffff,Білозерка,"POLYGON ((32.44053601562353 46.634455718412624, 32.437441967158264 46.63031454490536, 32.44145959056479 46.6263036103468, 32.44857080847356 46.62643373159999, 32.45166516524607 46.63057472619201, 32.44764799589588 46.63458577844794, 32.44053601562353 46.634455718412624))","POLYGON ((32.44053601562353 46.634455718412624, 32.437441967158264 46.63031454490536, 32.44145959056479 46.6263036103468, 32.44857080847356 46.62643373159999, 32.45166516524607 46.63057472619201, 32.44764799589588 46.63458577844794, 32.44053601562353 46.634455718412624))"
882d64d35bfffff,Дніпро,"POLYGON ((35.010634470573066 48.47664671914823, 35.007361366051065 48.47269954459002, 35.01129787533671 48.46869445912543, 35.01850694194986 48.468636447275614, 35.021780291814814 48.472583436772176, 35.017844329820605 48.476588623179154, 35.010634470573066 48.47664671914823))","POLYGON ((35.010634470573066 48.47664671914823, 35.007361366051065 48.47269954459002, 35.01129787533671 48.46869445912543, 35.01850694194986 48.468636447275614, 35.021780291814814 48.472583436772176, 35.017844329820605 48.476588623179154, 35.010634470573066 48.47664671914823))"
881e695301fffff,Полтава,"POLYGON ((34.542535138520755 49.58517524860354, 34.53923052925879 49.5812751094706, 34.543260862357826 49.57732920639205, 34.55059525350767 49.57728333325629, 34.55390013040058 49.58118328914238, 34.549870348614945 49.58512930141033, 34.542535138520755 49.58517524860354))","POLYGON ((34.542535138520755 49.58517524860354, 34.53923052925879 49.5812751094706, 34.543260862357826 49.57732920639205, 34.55059525350767 49.57728333325629, 34.55390013040058 49.58118328914238, 34.549870348614945 49.58512930141033, 34.542535138520755 49.58517524860354))"
881e6d76bbfffff,Охтирка,"POLYGON ((34.885682984703664 50.30381693702669, 34.88233141216845 50.29997255766183, 34.886377362725995 50.296049760865095, 34.89377431384722 50.29597123415082, 34.89712614840315 50.299815429687754, 34.89308076992191 50.30373833576561, 34.885682984703664 50.30381693702669))","POLYGON ((34.885682984703664 50.30381693702669, 34.88233141216845 50.29997255766183, 34.886377362725995 50.296049760865095, 34.89377431384722 50.29597123415082, 34.89712614840315 50.299815429687754, 34.89308076992191 50.30373833576561, 34.885682984703664 50.30381693702669))"
881e652ce5fffff,Чернігів,"POLYGON ((31.27995787889748 51.52186861814201, 31.276704232525738 51.517971802516385, 31.281077942356177 51.51421067453344, 31.288704817313754 51.51434621843408, 31.291958853541853 51.51824285973363, 31.28758562507086 51.52200413146144, 31.27995787889748 51.52186861814201))","POLYGON ((31.27995787889748 51.52186861814201, 31.276704232525738 51.517971802516385, 31.281077942356177 51.51421067453344, 31.288704817313754 51.51434621843408, 31.291958853541853 51.51824285973363, 31.28758562507086 51.52200413146144, 31.27995787889748 51.52186861814201))"
882d65d6c1fffff,Первомайський,"POLYGON ((36.2084071031856 49.40244258479446, 36.20504757726117 49.39859452606709, 36.20894582092552 49.394599176026404, 36.21620299800915 49.39445179132329, 36.21956273784302 49.39829966360318, 36.21566508678212 49.40229510703122, 36.2084071031856 49.40244258479446))","POLYGON ((36.2084071031856 49.40244258479446, 36.20504757726117 49.39859452606709, 36.20894582092552 49.394599176026404, 36.21620299800915 49.39445179132329, 36.21956273784302 49.39829966360318, 36.21566508678212 49.40229510703122, 36.2084071031856 49.40244258479446))"
881e68129dfffff,Миргород,"POLYGON ((33.59779816872166 49.97116935647257, 33.594514251779664 49.967257795693904, 33.5986338108568 49.963354552786555, 33.606036756549685 49.96336275186712, 33.609320973998194 49.9672741318537, 33.60520194535259 49.97117749355206, 33.59779816872166 49.97116935647257))","POLYGON ((33.59779816872166 49.97116935647257, 33.594514251779664 49.967257795693904, 33.5986338108568 49.963354552786555, 33.606036756549685 49.96336275186712, 33.609320973998194 49.9672741318537, 33.60520194535259 49.97117749355206, 33.59779816872166 49.97116935647257))"
882d64d35bfffff,Дніпро,"POLYGON ((35.010634470573066 48.47664671914823, 35.007361366051065 48.47269954459002, 35.01129787533671 48.46869445912543, 35.01850694194986 48.468636447275614, 35.021780291814814 48.472583436772176, 35.017844329820605 48.476588623179154, 35.010634470573066 48.47664671914823))","POLYGON ((35.010634470573066 48.47664671914823, 35.007361366051065 48.47269954459002, 35.01129787533671 48.46869445912543, 35.01850694194986 48.468636447275614, 35.021780291814814 48.472583436772176, 35.017844329820605 48.476588623179154, 35.010634470573066 48.47664671914823))"
