store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,country_title,id,text
160,1,2070,UA,35,48.054607,32.168434,,A,10,10,160,0,N,1439,N,Y,СТАНДАРТ,uk,"вул. Вознесенська, 55",,Бобринець,,380675362491,ПН - НД 8:00 - 21:00,,,3,Україна,160,"Аврора #160 Бобринець, вул. Вознесенська, 55"
161,1,6130,UA,32,49.686719,30.472825,,A,10,10,161,0,N,21001,N,Y,СТАНДАРТ,uk,"вул. Травнева, 1",,Рокитне,,380675380637,ПН - НД 8:00 - 21:00,,,3,Україна,161,"Аврора #161 Рокитне, вул. Травнева, 1"
162,1,2980,UA,35,48.643401,31.629848,,A,10,10,162,0,N,13429,N,Y,СТАНДАРТ,uk,"пров. Професійний 1-й, 2-А",,Мала Виска,,380675380586,ПН - НД 8:00 - 21:00,,,3,Україна,162,"Аврора #162 Мала Виска, пров. Професійний 1-й, 2-А"
164,1,4960,UA,35,48.49671,32.207684,,A,10,10,164,0,N,11558,N,Y,СТАНДАРТ,uk,"вул. Космонавта Попова, 20",,Кропивницький,,380972012792,ПН - НД 8:00 - 21:00,,,3,Україна,164,"Аврора #164 Кропивницький, вул. Космонавта Попова, 20"
165,1,5630,UA,74,52.009166,33.264012,,A,10,10,165,0,N,16006,N,Y,СТАНДАРТ,uk,"вул. Базарна, 17",,Новгород-Сіверський,,380972030174,ПН - НД 8:00 - 20:00,,,3,Україна,165,"Аврора #165 Новгород-Сіверський, вул. Базарна, 17"
168,1,1760,UA,12,47.580137,34.393564,,A,10,10,168,0,N,15827,N,Y,СТАНДАРТ,uk,"вул. Шевченка, 233",,Нікополь,,380675380479,ПН - НД 8:00 - 19:00,,,3,Україна,168,"Аврора #168 Нікополь, вул. Шевченка, 233"
169,1,4570,UA,12,48.515943,34.576741,,A,10,10,169,0,N,9452,N,Y,СТАНДАРТ,uk,"просп. Василя Стуса, 20-Г",,Кам'янське,,380671338530,ПН - НД 8:00 - 21:00,,,3,Україна,169,"Аврора #169 Кам'янське, просп. Василя Стуса, 20-Г"
173,1,4980,UA,35,48.329413,30.234429,,A,10,10,173,0,N,1351,N,Y,СТАНДАРТ,uk,"вул. Героїв України, 27-Б",,Благовіщенське,,380971010523,ПН - НД 8:00 - 20:00,,,3,Україна,173,"Аврора #173 Благовіщенське, вул. Героїв України, 27-Б"
174,1,6550,UA,63,49.837121,35.614922,,A,10,10,174,0,N,2369,N,Y,СТАНДАРТ,uk,"вул. 1-го Травня, 4",,Валки,,380674072741,ПН - НД 7:00 - 20:00,,,3,Україна,174,"Аврора #174 Валки, вул. 1-го Травня, 4"
175,1,4730,UA,12,47.910747,33.342473,,A,10,10,175,0,N,11401,N,Y,СТАНДАРТ,uk,"вул. Петра Калнишевського, 4",,Кривий Ріг,,380979592557,ПН - НД 8:00 - 21:00,,,3,Україна,175,"Аврора #175 Кривий Ріг, вул. Петра Калнишевського, 4"
